run_id,label,n,ods,gap_var,first_half_ods
cpu_att_053,BASELINE,20,0.010526,0.166205,0.000000
cpu_att_054,BASELINE,20,0.026316,0.354571,0.088889
cpu_att_055,BASELINE,20,0.010526,0.132964,0.022222
cpu_att_056,BASELINE,20,0.036842,0.337950,0.088889
cpu_att_057,BASELINE,20,0.005263,0.049861,0.022222
cpu_att_058,BASELINE,20,0.015789,0.321330,0.022222
cpu_att_059,BASELINE,20,0.026316,0.249307,0.044444
cpu_att_060,BASELINE,20,0.015789,0.216066,0.066667
cpu_att_061,BASELINE,20,0.021053,0.337950,0.066667
cpu_att_062,BASELINE,20,0.026316,0.459834,0.044444
cpu_att_063,BASELINE,20,0.010526,0.132964,0.022222
cpu_att_064,BASELINE,20,0.021053,0.232687,0.044444
cpu_att_065,BASELINE,20,0.005263,0.049861,0.022222
cpu_att_066,BASELINE,20,0.000000,0.000000,0.000000
cpu_att_067,BASELINE,20,0.010526,0.094183,0.022222
cpu_att_068,BASELINE,20,0.010526,0.271468,0.044444
cpu_att_069,BASELINE,20,0.015789,0.299169,0.044444
cpu_att_070,BASELINE,20,0.015789,0.166205,0.022222
cpu_att_071,BASELINE,20,0.015789,0.299169,0.022222
cpu_att_072,BASELINE,20,0.021053,0.337950,0.044444
cpu_att_073,BASELINE,20,0.005263,0.049861,0.022222
cpu_att_074,BASELINE,20,0.010526,0.166205,0.044444
cpu_att_075,BASELINE,20,0.042105,1.301939,0.044444
cpu_att_076,BASELINE,20,0.015789,0.216066,0.022222
cpu_att_077,BASELINE,20,0.015789,0.193906,0.044444
cpu_att_078,BASELINE,20,0.021053,0.426593,0.022222
cpu_att_079,BASELINE,20,0.005263,0.049861,0.022222
cpu_att_080,BASELINE,20,0.005263,0.049861,0.022222
cpu_att_081,BASELINE,20,0.010526,0.132964,0.044444
cpu_att_082,BASELINE,20,0.015789,0.426593,0.066667
cpu_att_083,BASELINE,20,0.026316,0.354571,0.066667
cpu_att_084,BASELINE,20,0.036842,0.637119,0.088889
cpu_att_085,BASELINE,20,0.005263,0.094183,0.000000
cpu_att_086,BASELINE,20,0.021053,0.426593,0.022222
cpu_att_087,BASELINE,20,0.010526,0.132964,0.022222
cpu_att_088,BASELINE,20,0.021053,0.337950,0.044444
cpu_att_089,BASELINE,20,0.021053,0.337950,0.044444
cpu_att_090,BASELINE,20,0.010526,0.132964,0.022222
cpu_att_091,BASELINE,20,0.010526,0.132964,0.044444
cpu_att_092,BASELINE,20,0.026316,0.670360,0.044444
cpu_att_093,BASELINE,20,0.010526,0.132964,0.022222
cpu_att_094,BASELINE,20,0.015789,0.166205,0.022222
cpu_att_095,BASELINE,20,0.015789,0.299169,0.022222
cpu_att_096,BASELINE,20,0.015789,0.321330,0.022222
cpu_att_097,BASELINE,20,0.015789,0.321330,0.066667
cpu_att_098,BASELINE,20,0.021053,0.337950,0.044444
cpu_att_099,BASELINE,20,0.005263,0.049861,0.022222
mem_att_000,ATTACK,20,0.026316,0.670360,0.088889
mem_att_001,ATTACK,20,0.021053,0.232687,0.044444
mem_att_002,ATTACK,20,0.005263,0.094183,0.022222
mem_att_003,ATTACK,20,0.005263,0.094183,0.022222
mem_att_004,ATTACK,20,0.005263,0.094183,0.000000
mem_att_005,ATTACK,20,0.010526,0.166205,0.022222
mem_att_006,ATTACK,20,0.005263,0.049861,0.022222
mem_att_007,ATTACK,20,0.010526,0.271468,0.044444
mem_att_008,ATTACK,20,0.010526,0.132964,0.000000
mem_att_009,ATTACK,20,0.005263,0.049861,0.022222
mem_att_010,ATTACK,20,0.010526,0.132964,0.044444
mem_att_011,ATTACK,20,0.031579,0.664820,0.066667
mem_att_012,ATTACK,20,0.005263,0.049861,0.022222
mem_att_013,ATTACK,20,0.005263,0.094183,0.022222
mem_att_014,ATTACK,20,0.021053,0.443213,0.044444
mem_att_015,ATTACK,20,0.000000,0.000000,0.000000
mem_att_016,ATTACK,20,0.000000,0.000000,0.000000
mem_att_017,ATTACK,20,0.005263,0.094183,0.022222
mem_att_018,ATTACK,20,0.010526,0.132964,0.044444
mem_att_019,ATTACK,20,0.021053,0.232687,0.066667
mem_att_020,ATTACK,20,0.000000,0.000000,0.000000
mem_att_021,ATTACK,20,0.015789,0.299169,0.044444
mem_att_022,ATTACK,20,0.000000,0.000000,0.000000
mem_att_023,ATTACK,20,0.010526,0.166205,0.044444
mem_att_024,ATTACK,20,0.047368,0.869806,0.088889
mem_att_025,ATTACK,20,0.015789,0.531856,0.066667
mem_att_026,ATTACK,20,0.005263,0.094183,0.000000
mem_att_027,ATTACK,20,0.031579,0.664820,0.044444
mem_att_028,ATTACK,20,0.010526,0.166205,0.044444
mem_att_029,ATTACK,20,0.005263,0.049861,0.022222
mem_att_030,ATTACK,20,0.021053,0.232687,0.022222
mem_att_031,ATTACK,20,0.021053,0.337950,0.044444
mem_att_032,ATTACK,20,0.015789,0.299169,0.066667
mem_att_033,ATTACK,20,0.010526,0.238227,0.044444
mem_att_034,ATTACK,20,0.000000,0.000000,0.000000
mem_att_035,ATTACK,20,0.015789,0.166205,0.022222
mem_att_036,ATTACK,20,0.010526,0.132964,0.022222
mem_att_037,ATTACK,20,0.005263,0.049861,0.022222
mem_att_038,ATTACK,20,0.000000,0.000000,0.000000
mem_att_039,ATTACK,20,0.021053,0.443213,0.044444
mem_att_040,ATTACK,20,0.031579,0.548476,0.066667
mem_att_041,ATTACK,20,0.010526,0.271468,0.044444
mem_att_042,ATTACK,20,0.021053,0.454294,0.044444
mem_att_043,ATTACK,20,0.047368,0.936288,0.133333
mem_att_044,ATTACK,20,0.005263,0.094183,0.000000
mem_att_045,ATTACK,20,0.000000,0.000000,0.000000
mem_att_046,ATTACK,20,0.010526,0.238227,0.044444
mem_att_047,ATTACK,20,0.010526,0.166205,0.044444
mem_att_048,ATTACK,20,0.010526,0.132964,0.044444
mem_att_049,ATTACK,20,0.000000,0.000000,0.000000
mem_att_050,ATTACK,20,0.000000,0.000000,0.000000
mem_att_051,ATTACK,20,0.010526,0.238227,0.044444
mem_att_052,ATTACK,20,0.010526,0.132964,0.022222
mem_att_053,ATTACK,20,0.005263,0.094183,0.022222
mem_att_054,ATTACK,20,0.031579,0.454294,0.066667
mem_att_055,ATTACK,20,0.010526,0.166205,0.044444
mem_att_056,ATTACK,20,0.005263,0.094183,0.022222
mem_att_057,ATTACK,20,0.000000,0.000000,0.000000
mem_att_058,ATTACK,20,0.000000,0.000000,0.000000
mem_att_059,ATTACK,20,0.010526,0.132964,0.044444
mem_att_060,ATTACK,20,0.010526,0.132964,0.044444
mem_att_061,ATTACK,20,0.005263,0.094183,0.022222
mem_att_062,ATTACK,20,0.000000,0.000000,0.000000
mem_att_063,ATTACK,20,0.015789,0.299169,0.044444
mem_att_064,ATTACK,20,0.005263,0.049861,0.022222
mem_att_065,ATTACK,20,0.015789,0.321330,0.044444
mem_att_066,ATTACK,20,0.015789,0.216066,0.044444
mem_att_067,ATTACK,20,0.010526,0.132964,0.044444
mem_att_068,ATTACK,20,0.000000,0.000000,0.000000
mem_att_069,ATTACK,20,0.010526,0.132964,0.044444
mem_att_070,ATTACK,20,0.000000,0.000000,0.000000
mem_att_071,ATTACK,20,0.000000,0.000000,0.000000
mem_att_072,ATTACK,20,0.026316,0.559557,0.044444
mem_att_073,ATTACK,20,0.015789,0.193906,0.022222
mem_att_074,ATTACK,20,0.026316,0.249307,0.044444
mem_att_075,ATTACK,20,0.005263,0.049861,0.022222
mem_att_076,ATTACK,20,0.015789,0.299169,0.066667
mem_att_077,ATTACK,20,0.015789,0.404432,0.066667
mem_att_078,ATTACK,20,0.026316,0.354571,0.066667
mem_att_079,ATTACK,20,0.036842,0.321330,0.088889
mem_att_080,ATTACK,20,0.031579,0.653740,0.088889
mem_att_081,ATTACK,20,0.000000,0.000000,0.000000
mem_att_082,ATTACK,20,0.005263,0.049861,0.022222
mem_att_083,ATTACK,20,0.015789,0.299169,0.066667
mem_att_084,ATTACK,20,0.010526,0.238227,0.044444
mem_att_085,ATTACK,20,0.005263,0.094183,0.022222
mem_att_086,ATTACK,20,0.015789,0.299169,0.044444
mem_att_087,ATTACK,20,0.015789,0.614958,0.066667
mem_att_088,ATTACK,20,0.000000,0.000000,0.000000
mem_att_089,ATTACK,20,0.021053,0.454294,0.044444
mem_att_090,ATTACK,20,0.005263,0.049861,0.022222
mem_att_091,ATTACK,20,0.005263,0.094183,0.000000
mem_att_092,ATTACK,20,0.021053,0.349030,0.022222
mem_att_093,ATTACK,20,0.000000,0.000000,0.000000
mem_att_094,ATTACK,20,0.015789,0.193906,0.044444
mem_att_095,ATTACK,20,0.000000,0.000000,0.000000
mem_att_096,ATTACK,20,0.000000,0.000000,0.000000
mem_att_097,ATTACK,20,0.000000,0.000000,0.000000
mem_att_098,ATTACK,20,0.005263,0.049861,0.022222
mem_att_099,ATTACK,20,0.015789,0.216066,0.044444
